label;tweet;user_id
#music;Check out this musical: https://t.co/ZIzIikRjfF (made by @ bklyncecee with @musicallyapp) #bklyncecee;2994953628
#ad;LIVE on #YouNow - https://t.co/AIKnwfKWUX;2994953628
#ad;LIVE on #YouNow - https://t.co/3kRLkTdEmG;2994953628
#ad;LIVE on #YouNow - https://t.co/g5o35gU0L3;2994953628
#ad;LIVE on #YouNow - https://t.co/f1T36k9k0q;2994953628
#ad;LIVE on #YouNow - https://t.co/BFOpniUg1W;2994953628
#ad;LIVE on #YouNow - https://t.co/G9Da4XBKX8;2994953628
#ad;LIVE on #YouNow - https://t.co/uDLs6Js0t7;2994953628
#ad;LIVE on #YouNow - https://t.co/3n7AaWuk2l;2994953628
#personal;@WoahCorie HAPPY BIRTHDAY TURN TF UP#18;2994953628
#ad;LIVE on #YouNow - http://t.co/7u3xiA79Rf;2994953628
#ad;LIVE on #YouNow - http://t.co/Q5WtVu2OIK;2994953628
#ad;LIVE on #YouNow - http://t.co/YrsSmc3gNX;2994953628
#ad;LIVE on #YouNow - http://t.co/dFdzeO3OOJ;2994953628
#personal;@WoahCorie done;2994953628
#ad;LIVE on #YouNow - http://t.co/xAe2NJJzqz;2994953628
#ad;LIVE on #YouNow - http://t.co/RsatHypxrG;2994953628
#ad;LIVE on #YouNow - http://t.co/Yx9gnBr2Ox;2994953628
#personal;@WoahCorie damn;2994953628
#ad;LIVE on #YouNow - http://t.co/7y5LMYdMRU;2994953628
#tv;Castle Cancelled After 8 Seasons https://t.co/j0ULpX3E2S via @TVLine;29231236
#tv;American Crime Renewed at ABC https://t.co/6b612Kvvqy via @TVLine;29231236
#tv;The Good Wife Spinoff Deal Close to Sealed at CBS All Access https://t.co/woIV5b4QVR via @TVLine;29231236
#tv;Katzs Escape Branches Into Original Programming With Five True-Crime Series https://t.co/KCDCTnHuEY via @deadline;29231236
#tv;Damn. Between @thefamily and @QuanticoTV this week I'd say @ABCNetwork has an issue with people and their thumbs!;29231236
#tv;The Good Wife Creators On Unsettling Final Scene & More | Deadline https://t.co/q1bsMnhCIe;29231236
#tv;Locke & Key Being Developed As TV Series By IDW Entertainment | Deadline https://t.co/gJ8t0Z55R5;29231236
#tv;"Teaser Trailer: Tom Hanks In ""Inferno"" | News | Dark Horizons https://t.co/OLbVnAOMrn";29231236
#tv;Cheers to The Good Wife! @CBS https://t.co/7CAWhpA0AT;29231236
#tv;"Poster: Tom Hanks As Prof. Langdon In ""Inferno"" | News | Dark Horizons https://t.co/d54BKklYxj";29231236
#tv;Criminal Minds Renewed for Season 12 https://t.co/1XEg0rIHZr via @TVLine;29231236
#tv;Where Are They Now? The Cast Of Scream - https://t.co/kGwQ84lJyA;29231236
#tv;The Museum Of Witchcraft In Iceland Is Creepy Beyond Belief & You Have To Visit It At Least Once https://t.co/A8LskaDdWz via @ScoopWhoop;29231236
#tv;Ryan Murphy Lands Another FX Anthology, Feud, Starring Jessica Lange https://t.co/oV6Yg1IeDX via @variety;29231236
#tv;"Laurie, Chen On Not Returning To ""Twin Peaks"" | News | Dark Horizons https://t.co/ja3FckKZ7j";29231236
#literature;41 Of The Most Suspenseful Books You'll Ever Read: https://t.co/mqGuAkEeI5;29231236
